OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV131,WHS,LA,0.010692805, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV131,WHS,CL,0.004952538, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV131,WHS,MO,0.002551612, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV139,JER,PT,0.009683765, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,JER,CL,0.008453506, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,JER,MO,0.004533914, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,JER,LA,0.002765614, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,JER,DA,0.002286585, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,VOL,CL,0.009131494, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,VOL,MO,5.26E-04, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV14,VOL,MO,0.405526316, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
ASV14,VOL,LA,0.251269551, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
ASV14,VOL,PT,0.215992103, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
ASV14,VOL,CL,0.201095779, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
ASV14,VOL,DA,0.179709632, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
ASV1496,WHS,MO,0.003479471, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV1496,WHS,CL,0.003301692, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV1496,WHS,LA,0.002227668, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV1496,WHS,PT,0.002092926, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV1496,WHS,DA,9.20E-04, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV15,AMT,LA,0.088588905, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,AMT,DA,0.043538492, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,AMT,CL,0.040882695, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,AMT,PT,0.031410114, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,AMT,MO,0.022870662, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,JER,LA,0.14150726, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,JER,DA,0.13910061, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,JER,PT,0.112876381, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,JER,CL,0.094646113, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,JER,MO,0.051505259, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,VOL,MO,0.016315789, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,VOL,DA,0.015226629, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,VOL,LA,0.009343896, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,VOL,PT,0.006515301, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,VOL,CL,0.004667208, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,WHS,DA,0.043218391, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,WHS,LA,0.01447984, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,WHS,PT,0.013185433, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,WHS,MO,0.007422872, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV15,WHS,CL,0.003301692, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV224,AMT,PT,0.009133437, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,AMT,LA,0.006538705, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,JER,CL,0.007458976, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,JER,LA,0.004609357, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,JER,PT,0.003934029, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,JER,DA,0.003429878, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,WHS,MO,0.009510554, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,WHS,PT,0.006278778, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,WHS,CL,0.00536525, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,WHS,LA,0.003341501, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,WHS,DA,0.00183908, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV2400,JER,PT,0.003177485, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV2400,JER,LA,0.002074211, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV2400,JER,CL,0.00132604, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV2400,JER,DA,5.72E-04, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
