OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV139,AMT,LA,0.011811854, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,VOL,DA,0.016111898, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,VOL,PT,0.015992103, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,VOL,LA,0.015031485, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV151,WHS,LA,0.151258632, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV151,WHS,DA,0.148275862, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV151,WHS,PT,0.10422771, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV151,WHS,CL,0.101320677, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV151,WHS,MO,0.091626073, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV180,AMT,CL,0.043902439, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV180,AMT,PT,0.010692805, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV180,JER,MO,0.017228872, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV180,JER,DA,0.010289634, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV180,VOL,MO,0.018157895, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV180,VOL,CL,0.01461039, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV180,VOL,DA,0.010977337, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Phormidium,Phormidium sp. 
ASV20,AMT,CL,0.031358885, Cyanobacteriia,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
